txn_id,date,account,merchant,description,amount,category,subcategory,channel,is_recurring,is_income
41,2025-11-23,Checking,Exxon,transport purchase,-80.84,transport,general,card,0,0
42,2025-11-19,Credit,Walmart,groceries purchase,-235.63,groceries,general,pos,0,0
43,2025-11-22,Credit,Netflix,entertainment purchase,-153.18,entertainment,general,card,0,0
44,2025-11-29,Credit,City Clinic,healthcare purchase,-43.65,healthcare,general,pos,0,0
45,2025-11-18,Credit,Costco,groceries purchase,-84.5,groceries,general,pos,0,0
46,2025-11-24,Credit,Walgreens,healthcare purchase,-37.57,healthcare,general,pos,0,0
47,2025-11-10,Checking,Target,shopping purchase,-175.57,shopping,general,card,0,0
48,2025-11-11,Credit,Chipotle,dining purchase,-135.63,dining,general,pos,0,0
49,2025-11-18,Checking,Exxon,transport purchase,-101.71,transport,general,pos,0,0
50,2025-11-20,Checking,Amazon,shopping purchase,-169.29,shopping,general,pos,0,0
51,2025-11-12,Checking,Starbucks,dining purchase,-95.6,dining,general,pos,0,0
52,2025-11-16,Checking,Starbucks,dining purchase,-164.73,dining,general,card,0,0
53,2025-11-09,Checking,Uber,transport purchase,-34.34,transport,general,card,0,0
54,2025-11-27,Checking,CVS,healthcare purchase,-62.46,healthcare,general,pos,0,0
55,2025-11-14,Checking,Walgreens,healthcare purchase,-63.6,healthcare,general,card,0,0
56,2025-11-15,Checking,Misc Store,other purchase,-35.08,other,general,pos,0,0
57,2025-11-23,Checking,Uber,transport purchase,-78.77,transport,general,card,0,0
58,2025-11-22,Checking,Lyft,transport purchase,-90.7,transport,general,card,0,0
59,2025-11-19,Checking,Misc Store,other purchase,-28.55,other,general,card,0,0
60,2025-11-04,Credit,City Clinic,healthcare purchase,-53.6,healthcare,general,pos,0,0
61,2025-11-29,Credit,Cafe Roma,dining purchase,-92.54,dining,general,pos,0,0
62,2025-11-18,Checking,Hulu,entertainment purchase,-63.69,entertainment,general,card,0,0
63,2025-11-25,Checking,Lyft,transport purchase,-94.76,transport,general,pos,0,0
64,2025-11-19,Credit,Uber,transport purchase,-87.1,transport,general,pos,0,0
65,2025-11-18,Checking,Misc Store,other purchase,-85.12,other,general,pos,0,0
66,2025-11-23,Credit,Misc Store,other purchase,-38.53,other,general,card,0,0
67,2025-11-12,Credit,Target,shopping purchase,-166.03,shopping,general,pos,0,0
68,2025-11-06,Checking,Misc Store,other purchase,-51.45,other,general,card,0,0
69,2025-11-27,Checking,Chipotle,dining purchase,-231.96,dining,general,pos,0,0
70,2025-11-18,Checking,Spotify,entertainment purchase,-168.43,entertainment,general,card,0,0
71,2025-11-02,Checking,Misc Store,other purchase,-44.65,other,general,card,0,0
72,2025-11-26,Checking,Walgreens,healthcare purchase,-36.15,healthcare,general,card,0,0
73,2025-11-15,Credit,Hulu,entertainment purchase,-130.74,entertainment,general,card,0,0
74,2025-11-07,Credit,Cafe Roma,dining purchase,-184.7,dining,general,card,0,0
75,2025-11-25,Checking,Cafe Roma,dining purchase,-159.89,dining,general,card,0,0
76,2025-11-11,Checking,Netflix,entertainment purchase,-61.01,entertainment,general,card,0,0
77,2025-11-20,Credit,Starbucks,dining purchase,-84.58,dining,general,pos,0,0
78,2025-11-21,Credit,AMC,entertainment purchase,-166.67,entertainment,general,card,0,0
79,2025-11-11,Credit,Trader Joes,groceries purchase,-226.64,groceries,general,card,0,0
80,2025-11-11,Checking,Walgreens,healthcare purchase,-27.02,healthcare,general,card,0,0
81,2025-11-02,Credit,Misc Store,other purchase,-38.59,other,general,pos,0,0
82,2025-11-28,Checking,Trader Joes,groceries purchase,-168.92,groceries,general,pos,0,0
83,2025-10-03,Checking,ACME Corp,Paycheck,2661.75,income,salary,ach,1,1
84,2025-10-17,Checking,Payouts Inc,Paycheck,2666.88,income,salary,ach,1,1
85,2025-10-02,Checking,Sunrise Apartments,Monthly Rent,-1800,rent,housing,ach,1,0
86,2025-10-10,Checking,PureWater,Utility Bill,-220,utilities,bill,ach,1,0
87,2025-10-16,Credit,iCloud,Subscription,-57.95,subscriptions,media,card,1,0
88,2025-10-19,Credit,iCloud,Subscription,-69.2,subscriptions,media,card,1,0
89,2025-10-26,Credit,iCloud,Subscription,-63.12,subscriptions,media,card,1,0
90,2025-10-13,Credit,CVS,healthcare purchase,-52.6,healthcare,general,pos,0,0
91,2025-10-05,Checking,Misc Store,other purchase,-47.14,other,general,card,0,0
92,2025-10-19,Checking,Misc Store,other purchase,-58.24,other,general,card,0,0
93,2025-10-12,Credit,Target,shopping purchase,-110.61,shopping,general,card,0,0
94,2025-10-05,Credit,Spotify,entertainment purchase,-74.08,entertainment,general,pos,0,0
95,2025-10-28,Checking,Lyft,transport purchase,-45.4,transport,general,card,0,0
96,2025-10-16,Checking,Uber,transport purchase,-123.29,transport,general,card,0,0
97,2025-10-23,Checking,Cafe Roma,dining purchase,-216.02,dining,general,pos,0,0
98,2025-10-19,Credit,Costco,groceries purchase,-195.6,groceries,general,pos,0,0
99,2025-10-16,Checking,AMC,entertainment purchase,-61.09,entertainment,general,card,0,0
100,2025-10-08,Checking,Walmart,groceries purchase,-85.81,groceries,general,card,0,0
101,2025-10-13,Credit,Exxon,transport purchase,-102.36,transport,general,card,0,0
102,2025-10-25,Credit,Lyft,transport purchase,-121.91,transport,general,card,0,0
103,2025-10-18,Credit,Best Buy,shopping purchase,-269.64,shopping,general,card,0,0
104,2025-10-20,Checking,Walgreens,healthcare purchase,-48.55,healthcare,general,card,0,0
105,2025-10-12,Credit,Misc Store,other purchase,-53.68,other,general,pos,0,0
106,2025-10-21,Checking,Amazon,shopping purchase,-294.93,shopping,general,card,0,0
107,2025-10-04,Credit,Misc Store,other purchase,-48.21,other,general,card,0,0
108,2025-10-04,Checking,Best Buy,shopping purchase,-160.81,shopping,general,pos,0,0
109,2025-10-22,Checking,Misc Store,other purchase,-59.65,other,general,card,0,0
110,2025-10-27,Checking,Best Buy,shopping purchase,-191.23,shopping,general,pos,0,0
111,2025-10-25,Credit,Best Buy,shopping purchase,-205.33,shopping,general,card,0,0
112,2025-10-26,Checking,Whole Foods,groceries purchase,-136.9,groceries,general,pos,0,0
113,2025-10-19,Credit,Misc Store,other purchase,-41.31,other,general,pos,0,0
114,2025-10-21,Credit,Chipotle,dining purchase,-228.57,dining,general,pos,0,0
115,2025-10-13,Checking,CVS,healthcare purchase,-33.92,healthcare,general,pos,0,0
116,2025-10-23,Credit,Starbucks,dining purchase,-194.72,dining,general,pos,0,0
117,2025-10-03,Credit,Misc Store,other purchase,-33.69,other,general,pos,0,0
118,2025-10-07,Checking,Amazon,shopping purchase,-141.77,shopping,general,pos,0,0
119,2025-10-18,Credit,Target,shopping purchase,-132.14,shopping,general,pos,0,0
120,2025-10-12,Credit,Exxon,transport purchase,-66.76,transport,general,card,0,0
121,2025-10-25,Checking,Hulu,entertainment purchase,-64.77,entertainment,general,card,0,0
122,2025-10-22,Checking,Lyft,transport purchase,-72.38,transport,general,card,0,0
123,2025-10-23,Credit,Lyft,transport purchase,-75.41,transport,general,pos,0,0
124,2025-10-12,Checking,Target,shopping purchase,-229.51,shopping,general,card,0,0
125,2025-10-24,Checking,Target,shopping purchase,-93.09,shopping,general,card,0,0
126,2025-10-07,Credit,CVS,healthcare purchase,-50.48,healthcare,general,pos,0,0
127,2025-10-23,Credit,Shell,transport purchase,-95.43,transport,general,card,0,0
128,2025-10-27,Credit,Exxon,transport purchase,-85.85,transport,general,card,0,0
129,2025-10-02,Credit,Hulu,entertainment purchase,-74.47,entertainment,general,card,0,0
130,2025-10-29,Credit,Trader Joes,groceries purchase,-325.65,groceries,general,card,0,0
131,2025-10-22,Checking,Misc Store,other purchase,-67.7,other,general,pos,0,0
132,2025-10-05,Credit,City Clinic,healthcare purchase,-18.55,healthcare,general,card,0,0
133,2025-10-22,Credit,Hulu,entertainment purchase,-46.54,entertainment,general,pos,0,0
134,2025-10-11,Credit,Best Buy,shopping purchase,-207.74,shopping,general,pos,0,0
135,2025-10-15,Checking,Lyft,transport purchase,-73.4,transport,general,pos,0,0
136,2025-10-16,Checking,Cafe Roma,dining purchase,-69.21,dining,general,pos,0,0
137,2025-10-21,Checking,Amazon,shopping purchase,-216.3,shopping,general,card,0,0
138,2025-10-07,Credit,Lyft,transport purchase,-107.89,transport,general,pos,0,0
139,2025-10-26,Credit,Starbucks,dining purchase,-192.37,dining,general,pos,0,0
140,2025-10-16,Credit,Amazon,shopping purchase,-179.73,shopping,general,pos,0,0
141,2025-10-23,Checking,Misc Store,other purchase,-71.01,other,general,card,0,0
142,2025-10-12,Checking,Misc Store,other purchase,-56.37,other,general,pos,0,0
143,2025-10-15,Checking,Cafe Roma,dining purchase,-82.28,dining,general,card,0,0
144,2025-10-24,Credit,CVS,healthcare purchase,-25.07,healthcare,general,card,0,0
145,2025-10-29,Credit,Target,shopping purchase,-95.27,shopping,general,pos,0,0
146,2025-10-07,Checking,Shell,transport purchase,-80.48,transport,general,card,0,0
147,2025-10-18,Credit,Amazon,shopping purchase,-227.7,shopping,general,card,0,0
148,2025-10-06,Checking,Shell,transport purchase,-78.41,transport,general,pos,0,0
149,2025-10-04,Credit,Cafe Roma,dining purchase,-113.58,dining,general,card,0,0
150,2025-10-25,Credit,Uber,transport purchase,-40.06,transport,general,card,0,0
151,2025-10-23,Credit,Cafe Roma,dining purchase,-92.88,dining,general,pos,0,0
152,2025-10-19,Credit,Misc Store,other purchase,-86.35,other,general,pos,0,0
153,2025-10-07,Checking,Amazon,shopping purchase,-259.07,shopping,general,card,0,0
154,2025-10-22,Credit,Whole Foods,groceries purchase,-100.39,groceries,general,pos,0,0
155,2025-10-05,Checking,CVS,healthcare purchase,-18.75,healthcare,general,pos,0,0
156,2025-10-14,Credit,Spotify,entertainment purchase,-115.78,entertainment,general,pos,0,0
157,2025-10-16,Checking,Amazon,shopping purchase,-271.15,shopping,general,card,0,0
158,2025-10-12,Credit,Walgreens,healthcare purchase,-39.24,healthcare,general,card,0,0
159,2025-10-29,Credit,Walmart,groceries purchase,-262.25,groceries,general,pos,0,0
160,2025-10-27,Checking,Uber,transport purchase,-37.06,transport,general,pos,0,0
161,2025-10-13,Credit,Shell,transport purchase,-108.49,transport,general,pos,0,0
162,2025-10-04,Checking,City Clinic,healthcare purchase,-63.36,healthcare,general,pos,0,0
163,2025-10-07,Checking,AMC,entertainment purchase,-104.63,entertainment,general,pos,0,0
164,2025-10-21,Checking,Best Buy,shopping purchase,-98.69,shopping,general,card,0,0
